Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2018,3,Santiago Del Estero,1.134,"4.570,00"
2018,3,Tierra Del Fuego,2.795,"9.426,00"
2018,3,Tucumán,759,"3.064,00"
2018,2,Buenos Aires,1.550,"4.776,00"
2018,2,Capital Federal,2.421,"5.779,00"
2018,2,Catamarca,1.925,"7.566,00"
2018,2,Chaco,920,"3.441,00"
2018,2,Chubut,1.251,"4.080,00"
2018,2,Córdoba,3.028,"9.889,00"
2018,2,Corrientes,912,"3.464,00"
2018,2,Entre Ríos,1.554,"5.197,00"
2018,2,Formosa,875,"3.439,00"
2018,2,Jujuy,1.194,"4.668,00"
2018,2,La Pampa,2.344,"7.115,00"
2018,2,La Rioja,597,"2.244,00"
2018,2,Mendoza,458,"1.640,00"
2018,2,Misiones,1.095,"4.022,00"
2018,2,Neuquén,1.219,"4.096,00"
2018,2,Río Negro,1.205,"3.917,00"
2018,2,Salta,1.219,"5.031,00"
2018,2,San Juan,627,"2.463,00"
2018,2,San Luis,1.156,"4.040,00"
2018,2,Santa Cruz,1.538,"5.168,00"
2018,2,Santa Fe,1.769,"5.625,00"
2018,2,Santiago Del Estero,1.007,"4.056,00"
2018,2,Tierra Del Fuego,2.497,"8.420,00"
2018,2,Tucumán,720,"2.907,00"
2018,1,Buenos Aires,1.549,"4.783,00"
2018,1,Capital Federal,2.418,"5.764,00"
2018,1,Catamarca,2.187,"8.599,00"
2018,1,Chaco,933,"3.490,00"
2018,1,Chubut,1.224,"3.993,00"
2018,1,Córdoba,3.009,"9.826,00"
2018,1,Corrientes,964,"3.662,00"
2018,1,Entre Ríos,1.551,"5.187,00"
2018,1,Formosa,885,"3.477,00"
2018,1,Jujuy,1.181,"4.616,00"
2018,1,La Pampa,2.386,"7.241,00"
2018,1,La Rioja,623,"2.339,00"
2018,1,Mendoza,455,"1.630,00"
2018,1,Misiones,1.094,"4.015,00"
2018,1,Neuquén,1.197,"4.020,00"
2018,1,Río Negro,1.241,"4.036,00"
2018,1,Salta,1.269,"5.240,00"
2018,1,San Juan,492,"1.930,00"
2018,1,San Luis,1.256,"4.387,00"
2018,1,Santa Cruz,1.543,"5.184,00"
2018,1,Santa Fe,1.796,"5.710,00"
2018,1,Santiago Del Estero,1.009,"4.067,00"
2018,1,Tierra Del Fuego,2.464,"8.312,00"
2018,1,Tucumán,714,"2.881,00"
2017,4,Buenos Aires,1.554,"4.810,00"
2017,4,Capital Federal,2.415,"5.750,00"
2017,4,Catamarca,724,"2.846,00"
2017,4,Chaco,864,"3.234,00"
2017,4,Chubut,1.200,"3.913,00"
2017,4,Córdoba,2.842,"9.284,00"
2017,4,Corrientes,966,"3.670,00"
2017,4,Entre Ríos,1.549,"5.181,00"
2017,4,Formosa,829,"3.257,00"
2017,4,Jujuy,1.162,"4.543,00"
2017,4,La Pampa,2.398,"7.278,00"
2017,4,La Rioja,624,"2.342,00"
2017,4,Mendoza,588,"2.108,00"
2017,4,Misiones,1.090,"4.001,00"
2017,4,Neuquén,1.203,"4.041,00"
2017,4,Río Negro,1.257,"4.087,00"
2017,4,Salta,1.281,"5.287,00"
2017,4,San Juan,520,"2.041,00"
2017,4,San Luis,1.274,"4.452,00"
2017,4,Santa Cruz,1.467,"4.929,00"
2017,4,Santa Fe,1.815,"5.772,00"
2017,4,Santiago del Estero,1.011,"4.076,00"
2017,4,Tierra del Fuego,2.467,"8.320,00"
2017,4,Tucumán,715,"2.885,00"
2017,3,Buenos Aires,1.511,"4.679,00"
2017,3,Capital Federal,2.310,"5.492,00"
2017,3,Catamarca,1.008,"3.957,00"
2017,3,Chaco,773,"2.887,00"
2017,3,Chubut,1.193,"3.881,00"
2017,3,Córdoba,2.810,"9.161,00"
2017,3,Corrientes,859,"3.258,00"
2017,3,Entre Ríos,1.227,"4.098,00"
2017,3,Formosa,837,"3.284,00"
2017,3,Jujuy,1.136,"4.434,00"
2017,3,La Pampa,2.854,"8.650,00"
2017,3,La Rioja,634,"2.376,00"
2017,3,Mendoza,590,"2.109,00"
2017,3,Misiones,1.027,"3.761,00"
2017,3,Neuquén,1.724,"5.779,00"
2017,3,Río Negro,806,"2.613,00"
2017,3,Salta,1.860,"7.663,00"
2017,3,San Juan,523,"2.049,00"
2017,3,San Luis,1.280,"4.462,00"
2017,3,Santa Cruz,1.416,"4.736,00"
2017,3,Santa Fe,1.783,"5.664,00"
2017,3,Santiago del Estero,1.033,"4.154,00"
2017,3,Tierra del Fuego,2.484,"8.342,00"
2017,3,Tucumán,1.099,"4.427,00"
2017,2,Buenos Aires,1.517,"4.717,00"
2017,2,Capital Federal,2.314,"5.496,00"
2017,2,Catamarca,1.001,"3.935,00"
2017,2,Chaco,784,"2.932,00"
2017,2,Chubut,1.238,"4.037,00"
2017,2,Córdoba,2.800,"9.143,00"
2017,2,Corrientes,853,"3.241,00"
2017,2,Entre Ríos,1.207,"4.036,00"
2017,2,Formosa,812,"3.192,00"
2017,2,Jujuy,1.136,"4.442,00"
2017,2,La Pampa,2.845,"8.633,00"
2017,2,La Rioja,639,"2.399,00"
2017,2,Mendoza,588,"2.106,00"
2017,2,Misiones,1.010,"3.709,00"
2017,2,Neuquén,1.737,"5.835,00"
2017,2,Río Negro,811,"2.638,00"
2017,2,Salta,1.873,"7.734,00"
2017,2,San Juan,538,"2.111,00"
2017,2,San Luis,1.123,"3.925,00"
2017,2,Santa Cruz,1.484,"4.988,00"
2017,2,Santa Fe,1.793,"5.703,00"
2017,2,Santiago del Estero,1.026,"4.135,00"
2017,2,Tierra del Fuego,2.425,"8.179,00"
2017,2,Tucumán,1.098,"4.432,00"
2017,1,Buenos Aires,1.523,"4.743,00"
2017,1,Capital Federal,2.329,"5.524,00"
2017,1,Catamarca,736,"2.891,00"
2017,1,Chaco,757,"2.832,00"
2017,1,Chubut,1.246,"4.065,00"
2017,1,Córdoba,2.816,"9.197,00"
2017,1,Corrientes,858,"3.259,00"
2017,1,Entre Ríos,1.195,"3.998,00"
2017,1,Formosa,828,"3.253,00"
2017,1,Jujuy,1.133,"4.431,00"
2017,1,La Pampa,2.934,"8.904,00"
2017,1,La Rioja,649,"2.437,00"
2017,1,Mendoza,607,"2.176,00"
2017,1,Misiones,1.016,"3.730,00"
2017,1,Neuquén,1.745,"5.861,00"
2017,1,Río Negro,734,"2.385,00"
2017,1,Salta,1.252,"5.167,00"
2017,1,San Juan,576,"2.260,00"
2017,1,San Luis,1.172,"4.096,00"
2017,1,Santa Cruz,1.500,"5.040,00"
2017,1,Santa Fe,1.750,"5.565,00"
2017,1,Santiago del Estero,1.033,"4.161,00"
2017,1,Tierra del Fuego,2.431,"8.197,00"
2017,1,Tucumán,769,"3.105,00"
2016,4,Buenos Aires,1.506,"4.941,00"
2016,4,Capital Federal,2.329,"6.133,00"
2016,4,Catamarca,752,"2.958,00"
2016,4,Chaco,765,"2.863,00"
2016,4,Chubut,1.259,"4.114,00"
2016,4,Córdoba,2.798,"9.148,00"
2016,4,Corrientes,865,"3.288,00"
2016,4,Entre Ríos,1.168,"3.911,00"
2016,4,Formosa,792,"3.113,00"
2016,4,Jujuy,1.110,"4.344,00"
2016,4,La Pampa,2.905,"8.824,00"
2016,4,La Rioja,690,"2.594,00"
2016,4,Mendoza,613,"2.200,00"
2016,4,Misiones,1.023,"3.760,00"
2016,4,Neuquén,1.762,"5.926,00"
2016,4,Río Negro,762,"2.480,00"
2016,4,Salta,1.279,"5.287,00"
2016,4,San Juan,533,"2.095,00"
2016,4,San Luis,1.125,"3.937,00"
2016,4,Santa Cruz,1.545,"5.204,00"
2016,4,Santa Fe,1.801,"5.733,00"
2016,4,Santiago del Estero,1.045,"4.214,00"
2016,4,Tierra del Fuego,2.473,"8.359,00"
2016,4,Tucumán,770,"3.111,00"
2016,3,Buenos Aires,1.497,"4.912,00"
2016,3,Capital Federal,2.343,"6.170,00"
2016,3,Catamarca,743,"2.922,00"
2016,3,Chaco,780,"2.922,00"
2016,3,Chubut,1.259,"4.112,00"
2016,3,Córdoba,2.804,"9.166,00"
2016,3,Corrientes,859,"3.263,00"
2016,3,Entre Ríos,1.165,"3.900,00"
2016,3,Formosa,793,"3.119,00"
2016,3,Jujuy,1.148,"4.493,00"
2016,3,La Pampa,2.625,"7.973,00"
2016,3,La Rioja,660,"2.481,00"
2016,3,Mendoza,610,"2.188,00"
2016,3,Misiones,1.017,"3.738,00"
2016,3,Neuquén,1.764,"5.931,00"
2016,3,Río Negro,769,"2.503,00"
2016,3,Salta,1.276,"5.273,00"
2016,3,San Juan,567,"2.227,00"
2016,3,San Luis,1.120,"3.918,00"
2016,3,Santa Cruz,1.554,"5.232,00"
2016,3,Santa Fe,1.794,"5.710,00"
2016,3,Santiago del Estero,1.056,"4.259,00"
2016,3,Tierra del Fuego,2.466,"8.334,00"
2016,3,Tucumán,777,"3.140,00"
2016,2,Buenos Aires,1.494,"4.904,00"
2016,2,Capital Federal,2.347,"6.180,00"
2016,2,Catamarca,740,"2.910,00"
2016,2,Chaco,816,"3.056,00"
2016,2,Chubut,1.261,"4.120,00"
2016,2,Córdoba,2.788,"9.115,00"
2016,2,Corrientes,858,"3.261,00"
2016,2,Entre Ríos,1.162,"3.890,00"
2016,2,Formosa,793,"3.119,00"
2016,2,Jujuy,1.158,"4.533,00"
2016,2,La Pampa,2.590,"7.865,00"
2016,2,La Rioja,654,"2.459,00"
2016,2,Mendoza,609,"2.185,00"
2016,2,Misiones,1.015,"3.731,00"
2016,2,Neuquén,1.765,"5.937,00"
2016,2,Río Negro,772,"2.514,00"
2016,2,Salta,1.290,"5.330,00"
2016,2,San Juan,567,"2.230,00"
2016,2,San Luis,1.118,"3.910,00"
2016,2,Santa Cruz,1.570,"5.286,00"
2016,2,Santa Fe,1.796,"5.715,00"
2016,2,Santiago del Estero,1.056,"4.259,00"
2016,2,Tierra del Fuego,2.433,"8.224,00"
2016,2,Tucumán,773,"3.123,00"
2016,1,Buenos Aires,1.486,"4.877,00"
2016,1,Capital Federal,2.354,"6.198,00"
2016,1,Catamarca,729,"2.868,00"
2016,1,Chaco,791,"2.961,00"
2016,1,Chubut,1.182,"3.861,00"
2016,1,Córdoba,2.770,"9.054,00"
2016,1,Corrientes,855,"3.250,00"
2016,1,Entre Ríos,1.156,"3.869,00"
2016,1,Formosa,793,"3.118,00"
2016,1,Jujuy,1.152,"4.509,00"
2016,1,La Pampa,2.588,"7.861,00"
2016,1,La Rioja,650,"2.443,00"
2016,1,Mendoza,609,"2.185,00"
2016,1,Misiones,1.005,"3.694,00"
2016,1,Neuquén,1.766,"5.938,00"
2016,1,Río Negro,775,"2.521,00"
2016,1,Salta,1.261,"5.213,00"
2016,1,San Juan,565,"2.219,00"
2016,1,San Luis,1.139,"3.983,00"
2016,1,Santa Cruz,1.652,"5.562,00"
2016,1,Santa Fe,1.783,"5.674,00"
2016,1,Santiago del Estero,1.054,"4.251,00"
2016,1,Tierra del Fuego,2.484,"8.395,00"
2016,1,Tucumán,801,"3.235,00"
2015,4,Buenos Aires,1.504,"4.934,00"
2015,4,Capital Federal,2.347,"6.180,00"
2015,4,Catamarca,740,"2.910,00"
2015,4,Chaco,794,"2.975,00"
2015,4,Chubut,1.214,"3.967,00"
2015,4,Córdoba,2.787,"9.111,00"
2015,4,Corrientes,882,"3.352,00"
2015,4,Entre Ríos,1.169,"3.912,00"
2015,4,Formosa,801,"3.148,00"
2015,4,Jujuy,1.190,"4.657,00"
2015,4,La Pampa,2.541,"7.717,00"
2015,4,La Rioja,684,"2.572,00"
2015,4,Mendoza,620,"2.223,00"
2015,4,Misiones,1.002,"3.683,00"
2015,4,Neuquén,1.793,"6.029,00"
2015,4,Río Negro,809,"2.633,00"
2015,4,Salta,1.297,"5.361,00"
2015,4,San Juan,599,"2.352,00"
2015,4,San Luis,1.145,"4.004,00"
2015,4,Santa Cruz,1.716,"5.780,00"
2015,4,Santa Fe,1.806,"5.746,00"
2015,4,Santiago del Estero,1.077,"4.342,00"
2015,4,Tierra del Fuego,2.474,"8.362,00"
2015,4,Tucumán,786,"3.176,00"
2015,3,Buenos Aires,1.504,"4.936,00"
2015,3,Capital Federal,2.344,"6.171,00"
2015,3,Catamarca,733,"2.883,00"
2015,3,Chaco,811,"3.037,00"
2015,3,Chubut,1.214,"3.966,00"
2015,3,Córdoba,2.764,"9.037,00"
2015,3,Corrientes,863,"3.280,00"
2015,3,Entre Ríos,1.163,"3.891,00"
2015,3,Formosa,801,"3.150,00"
2015,3,Jujuy,1.179,"4.613,00"
2015,3,La Pampa,2.510,"7.623,00"
2015,3,La Rioja,701,"2.636,00"
2015,3,Mendoza,623,"2.235,00"
2015,3,Misiones,996,"3.662,00"
2015,3,Neuquén,1.796,"6.040,00"
2015,3,Río Negro,817,"2.660,00"
2015,3,Salta,1.277,"5.279,00"
2015,3,San Juan,590,"2.317,00"
2015,3,San Luis,1.149,"4.019,00"
2015,3,Santa Cruz,1.715,"5.776,00"
2015,3,Santa Fe,1.806,"5.746,00"
2015,3,Santiago del Estero,1.073,"4.328,00"
2015,3,Tierra del Fuego,2.433,"8.222,00"
2015,3,Tucumán,770,"3.112,00"
2015,2,Buenos Aires,1.514,"4.969,00"
2015,2,Capital Federal,2.270,"5.977,00"
2015,2,Catamarca,719,"2.827,00"
2015,2,Chaco,800,"2.995,00"
2015,2,Chubut,1.213,"3.962,00"
2015,2,Córdoba,2.744,"8.971,00"
2015,2,Corrientes,856,"3.254,00"
2015,2,Entre Ríos,1.165,"3.898,00"
2015,2,Formosa,800,"3.146,00"
2015,2,Jujuy,1.148,"4.492,00"
2015,2,La Pampa,2.416,"7.338,00"
2015,2,La Rioja,691,"2.598,00"
2015,2,Mendoza,619,"2.220,00"
2015,2,Misiones,978,"3.593,00"
2015,2,Neuquén,1.795,"6.036,00"
2015,2,Río Negro,833,"2.710,00"
2015,2,Salta,1.269,"5.244,00"
2015,2,San Juan,590,"2.316,00"
2015,2,San Luis,1.166,"4.080,00"
2015,2,Santa Cruz,1.690,"5.691,00"
2015,2,Santa Fe,1.800,"5.728,00"
2015,2,Santiago del Estero,1.064,"4.289,00"
2015,2,Tierra del Fuego,2.367,"8.001,00"
2015,2,Tucumán,763,"3.082,00"
2015,1,Buenos Aires,1.502,"4.929,00"
2015,1,Capital Federal,2.260,"5.950,00"
2015,1,Catamarca,708,"2.785,00"
2015,1,Chaco,801,"3.001,00"
2015,1,Chubut,1.209,"3.951,00"
2015,1,Córdoba,2.732,"8.931,00"
2015,1,Corrientes,845,"3.210,00"
2015,1,Entre Ríos,1.150,"3.850,00"
2015,1,Formosa,800,"3.144,00"
2015,1,Jujuy,1.100,"4.305,00"
2015,1,La Pampa,2.370,"7.197,00"
2015,1,La Rioja,695,"2.613,00"
2015,1,Mendoza,614,"2.202,00"
2015,1,Misiones,961,"3.531,00"
2015,1,Neuquén,1.794,"6.033,00"
2015,1,Río Negro,823,"2.678,00"
2015,1,Salta,1.262,"5.215,00"
2015,1,San Juan,595,"2.336,00"
2015,1,San Luis,1.167,"4.083,00"
2015,1,Santa Cruz,1.701,"5.729,00"
2015,1,Santa Fe,1.779,"5.660,00"
2015,1,Santiago del Estero,1.059,"4.269,00"
2015,1,Tierra del Fuego,2.324,"7.855,00"
2015,1,Tucumán,749,"3.027,00"
2014,4,Buenos Aires,1.513,"4.965,00"
2014,4,Capital Federal,2.264,"5.962,00"
2014,4,Catamarca,719,"2.827,00"
2014,4,Chaco,805,"3.014,00"
2014,4,Chubut,1.229,"4.015,00"
2014,4,Córdoba,2.767,"9.044,00"
2014,4,Corrientes,861,"3.271,00"
2014,4,Entre Ríos,1.161,"3.885,00"
2014,4,Formosa,812,"3.192,00"
2014,4,Jujuy,1.103,"4.319,00"
2014,4,La Pampa,2.346,"7.125,00"
2014,4,La Rioja,726,"2.731,00"
2014,4,Mendoza,623,"2.235,00"
2014,4,Misiones,959,"3.523,00"
2014,4,Neuquén,2.535,"8.526,00"
2014,4,Río Negro,843,"2.743,00"
2014,4,Salta,1.269,"5.245,00"
2014,4,San Juan,588,"2.312,00"
2014,4,San Luis,1.177,"4.116,00"
2014,4,Santa Cruz,1.413,"4.759,00"
2014,4,Santa Fe,1.935,"6.159,00"
2014,4,Santiago del Estero,1.071,"4.319,00"
2014,4,Tierra del Fuego,2.345,"7.926,00"
2014,4,Tucumán,763,"3.085,00"
2014,3,Buenos Aires,1.505,"4.938,00"
2014,3,Capital Federal,2.261,"5.953,00"
2014,3,Catamarca,701,"2.757,00"
2014,3,Chaco,757,"2.835,00"
2014,3,Chubut,1.231,"4.021,00"
2014,3,Córdoba,2.765,"9.040,00"
2014,3,Corrientes,847,"3.220,00"
2014,3,Entre Ríos,1.151,"3.853,00"
2014,3,Formosa,809,"3.181,00"
2014,3,Jujuy,1.029,"4.027,00"
2014,3,La Pampa,2.293,"6.963,00"
2014,3,La Rioja,678,"2.551,00"
2014,3,Mendoza,627,"2.250,00"
2014,3,Misiones,986,"3.624,00"
2014,3,Neuquén,2.536,"8.528,00"
2014,3,Río Negro,844,"2.748,00"
2014,3,Salta,1.268,"5.240,00"
2014,3,San Juan,585,"2.300,00"
2014,3,San Luis,1.167,"4.081,00"
2014,3,Santa Cruz,1.404,"4.728,00"
2014,3,Santa Fe,1.941,"6.177,00"
2014,3,Santiago del Estero,1.065,"4.295,00"
2014,3,Tierra del Fuego,2.364,"7.991,00"
2014,3,Tucumán,761,"3.077,00"
2014,2,Buenos Aires,1.504,"4.935,00"
2014,2,Capital Federal,2.270,"5.978,00"
2014,2,Catamarca,697,"2.740,00"
2014,2,Chaco,758,"2.839,00"
2014,2,Chubut,1.233,"4.027,00"
2014,2,Córdoba,2.761,"9.025,00"
2014,2,Corrientes,834,"3.171,00"
2014,2,Entre Ríos,1.132,"3.790,00"
2014,2,Formosa,811,"3.190,00"
2014,2,Jujuy,1.001,"3.919,00"
2014,2,La Pampa,2.258,"6.857,00"
2014,2,La Rioja,691,"2.600,00"
2014,2,Mendoza,624,"2.238,00"
2014,2,Misiones,974,"3.578,00"
2014,2,Neuquén,2.535,"8.526,00"
2014,2,Río Negro,843,"2.745,00"
2014,2,Salta,1.263,"5.219,00"
2014,2,San Juan,577,"2.267,00"
2014,2,San Luis,1.185,"4.146,00"
2014,2,Santa Cruz,1.495,"5.033,00"
2014,2,Santa Fe,1.929,"6.140,00"
2014,2,Santiago del Estero,1.055,"4.254,00"
2014,2,Tierra del Fuego,2.344,"7.922,00"
2014,2,Tucumán,764,"3.088,00"
2014,1,Buenos Aires,1.434,"4.707,00"
2014,1,Capital Federal,2.268,"5.971,00"
2014,1,Catamarca,464,"1.825,00"
2014,1,Chaco,779,"2.918,00"
2014,1,Chubut,1.234,"4.033,00"
2014,1,Córdoba,1.448,"4.734,00"
2014,1,Corrientes,576,"2.189,00"
2014,1,Entre Ríos,834,"2.792,00"
2014,1,Formosa,523,"2.056,00"
2014,1,Jujuy,898,"3.513,00"
2014,1,La Pampa,1.994,"6.056,00"
2014,1,La Rioja,692,"2.604,00"
2014,1,Mendoza,574,"2.058,00"
2014,1,Misiones,845,"3.104,00"
2014,1,Neuquén,1.734,"5.831,00"
2014,1,Río Negro,583,"1.896,00"
2014,1,Salta,936,"3.871,00"
2014,1,San Juan,575,"2.260,00"
2014,1,San Luis,359,"1.256,00"
2014,1,Santa Cruz,679,"2.285,00"
2014,1,Santa Fe,1.622,"5.162,00"
2014,1,Santiago del Estero,1.013,"4.084,00"
2014,1,Tierra del Fuego,2.017,"6.818,00"
2014,1,Tucumán,710,"2.867,00"
